Trial_#,Date,Start_Time,Start_Date_Time,End_Time,End_Date_Time,flow (mL/min),Jar (g),Jar_wet_salt,Jar_dry_salt,salt (g),water (g),wt % water,,,
3,1/22/2024,3:05:00 PM,22-01-2024 15:05,3:15:00 PM,22-01-2024 15:15,N/A,305.93,353.97,352.9,46.97,1.07,0.022273106,,,
4,1/22/2024,3:59:00 PM,22-01-2024 15:59,4:05:00 PM,22-01-2024 16:05,178,280.4,306.95,306.33,25.93,0.62,0.023352166,,,
5,1/22/2024,4:12:00 PM,22-01-2024 16:12,4:18:00 PM,22-01-2024 16:18,125,437.04,488.15,486.29,49.25,1.86,0.036392095,,,
6,1/22/2024,4:22:00 PM,22-01-2024 16:22,4:28:00 PM,22-01-2024 16:28,80,281.6,322.83,321.99,40.39,0.84,0.020373514,,,
7,1/22/2024,4:35:00 PM,22-01-2024 16:35,4:41:00 PM,22-01-2024 16:41,230,426.9,450.02,446.26,19.36,3.76,0.162629758,,,
8,1/22/2024,4:44:00 PM,22-01-2024 16:44,4:51:00 PM,22-01-2024 16:51,150,436.6,460.11,457.68,21.08,2.43,0.103360272,,,
10,1/29/2024,3:05:00 PM,29-01-2024 15:05,3:12:00 PM,29-01-2024 15:12,289.5,280.07,299.16,297.66,17.59,1.5,0.07857517,,,
11,1/29/2024,3:13:00 PM,29-01-2024 15:13,3:20:00 PM,29-01-2024 15:20,289.5,280.36,306.8,304.83,24.47,1.97,0.074508321,,,
12,1/29/2024,3:28:00 PM,29-01-2024 15:28,3:36:00 PM,29-01-2024 15:36,289.5,305.83,329.49,326.84,21.01,2.65,0.112003381,,,
14,1/29/2024,3:47:00 PM,29-01-2024 15:47,3:53:00 PM,29-01-2024 15:53,289.5,281.81,304.17,301.89,20.08,2.28,0.1019678,,,
15,1/29/2024,3:53:00 PM,29-01-2024 15:53,4:00:00 PM,29-01-2024 16:00,289.5,281.35,292.7,291.6,10.25,1.1,0.0969163,,,
16,1/29/2024,4:00:00 PM,29-01-2024 16:00,4:06:00 PM,29-01-2024 16:06,289.5,280.4,312.08,310.11,29.71,1.97,0.062184343,,,
18,1/29/2024,4:27:00 PM,29-01-2024 16:27,4:33:00 PM,29-01-2024 16:33,289.5,281.63,306.22,304.55,22.92,1.67,0.067913786,,,
19,1/29/2024,4:33:00 PM,29-01-2024 16:33,4:38:00 PM,29-01-2024 16:38,289.5,282.22,298.58,296.87,14.65,1.71,0.104523227,,,
20,1/29/2024,4:43:00 PM,29-01-2024 16:43,4:48:00 PM,29-01-2024 16:48,289.5,426.85,447.35,444.37,17.52,2.98,0.145365854,,,
21,2/12/2024,2:56:00 PM,12-02-2024 14:56,3:05:00 PM,12-02-2024 15:05,289.5,281.95,300.13,299.04,17.09,1.09,0.059955996,,,
22,2/12/2024,3:11:00 PM,12-02-2024 15:11,3:18:00 PM,12-02-2024 15:18,289.5,427.14,479.29,477.41,50.27,1.88,0.036049856,,,
23,2/12/2024,3:18:00 PM,12-02-2024 15:18,3:25:00 PM,12-02-2024 15:25,289.5,436.95,478.81,475.5,38.55,3.31,0.079073101,,,
24,2/12/2024,3:29:00 PM,12-02-2024 15:29,3:36:00 PM,12-02-2024 15:36,245,305.92,342.15,340.69,34.77,1.46,0.040298096,,,
25,2/12/2024,3:37:00 PM,12-02-2024 15:37,3:44:00 PM,12-02-2024 15:44,245,282.28,333.69,332,49.72,1.69,0.032872982,,,
26,2/12/2024,3:45:00 PM,12-02-2024 15:45,3:52:00 PM,12-02-2024 15:52,245,281.68,325.92,324.48,42.8,1.44,0.032549729,,,
27,2/12/2024,3:55:00 PM,12-02-2024 15:55,4:02:00 PM,12-02-2024 16:02,245,280.44,309.95,309.72,29.28,0.23,0.007793968,,,
28,2/12/2024,4:03:00 PM,12-02-2024 16:03,4:10:00 PM,12-02-2024 16:10,245,281.42,332.85,332.01,50.59,0.84,0.01633288,,,
29,2/12/2024,4:11:00 PM,12-02-2024 16:11,4:18:00 PM,12-02-2024 16:18,245,280.14,318.11,316.81,36.67,1.3,0.034237556,,,
